Date,Floor,User-Group,User-Count,WiFi-Conn,Duration-Sec,Traffic-In-Byte,Traffic-Out-Byte,Traffic-Both-Byte
2016-04-01,1,Staff,182,1311,1061148,20288112087,1799557398,22087669485
2016-04-01,1,TPG,129,2506,2773055,194608389629,34011939117,228620328746
2016-04-01,1,RPG,210,1008,433056,16481727651,3580782087,20062509738
2016-04-01,1,UG,586,7653,6091337,395576125795,42888468773,438464594568
2016-04-01,1,Alumni,3,24,19615,1496440354,55154866,1551595220
2016-04-01,1,Others(HKUST),11,36,3517,24354047,1719285,26073332
2016-04-01,1,Non-HKUST,6,59,60961,3401972571,224743095,3626715666
2016-04-01,1,Total,1127,12597,10442689,631877122134,82562364621,714439486755
2016-04-01,G,Staff,129,1013,523250,12023069272,915585800,12938655072
2016-04-01,G,TPG,388,3093,1593103,134296536457,21778311740,156074848197
2016-04-01,G,RPG,165,1055,561151,18072006270,2502612194,20574618464
2016-04-01,G,UG,1660,11719,6139159,292374196337,37776390060,330150586397
2016-04-01,G,Alumni,15,120,116484,5550764013,1151941911,6702705924
2016-04-01,G,Others(HKUST),15,201,212433,1655885717,1203553364,2859439081
2016-04-01,G,Non-HKUST,33,169,110237,6636382342,3039583038,9675965380
2016-04-01,G,Total,2405,17370,9255817,470608840408,68367978107,538976818515
2016-04-01,LG1,Staff,288,1431,408553,8256402387,793315411,9049717798
2016-04-01,LG1,TPG,502,9662,6678904,478776584209,41307662739,520084246948
2016-04-01,LG1,RPG,472,3975,1750141,84731551816,15742100091,100473651907
2016-04-01,LG1,UG,2490,35095,22846852,1393987558524,206706427630,1600693986154
2016-04-01,LG1,Alumni,16,110,17877,677038268,71293045,748331313
2016-04-01,LG1,Others(HKUST),17,275,606955,6469464183,502529146,6971993329
2016-04-01,LG1,Non-HKUST,47,813,479161,29450958012,4400890366,33851848378
2016-04-01,LG1,Total,3832,51361,32788443,2002349557399,269524218428,2271873775827
2016-04-01,LG3,Staff,69,457,239013,8076943851,743847353,8820791204
2016-04-01,LG3,TPG,254,3769,3233950,246362708018,32625765307,278988473325
2016-04-01,LG3,RPG,108,1105,713468,26004598196,3445956620,29450554816
2016-04-01,LG3,UG,1063,7989,4981860,294468823623,37528295438,331997119061
2016-04-01,LG3,Alumni,10,100,138092,1752116953,244373371,1996490324
2016-04-01,LG3,Others(HKUST),8,56,3357,154503581,16552317,171055898
2016-04-01,LG3,Non-HKUST,26,268,192253,11588554032,12079111561,23667665593
2016-04-01,LG3,Total,1538,13744,9501993,588408248254,86683901967,675092150221
2016-04-01,LG4,Staff,159,854,356428,15565501333,1158694836,16724196169
2016-04-01,LG4,TPG,350,7190,5719794,338368066002,40047156159,378415222161
2016-04-01,LG4,RPG,244,1949,1146719,45026043137,17550378883,62576422020
2016-04-01,LG4,UG,1783,16872,9675089,544306544828,56993402012,601299946840
2016-04-01,LG4,Alumni,17,205,164575,4705148252,209124500,4914272752
2016-04-01,LG4,Others(HKUST),16,346,298599,19374292082,4807705972,24181998054
2016-04-01,LG4,Non-HKUST,28,259,195695,2746250697,372855578,3119106275
2016-04-01,LG4,Total,2597,27675,17556899,970091846331,121139317940,1091231164271
2016-04-01,All-Floors,Staff,521,5066,2588392,64210028930,5411000798,69621029728
2016-04-01,All-Floors,TPG,685,26220,19998806,1392412284315,169770835062,1562183119377
2016-04-01,All-Floors,RPG,736,9092,4604535,190315927070,42821829875,233137756945
