Date,Period,User-Group,User-Count,WiFi-Conn
2018-09-01,Midnight,Staff,2,5
2018-09-01,Midnight,TPG,0,0
2018-09-01,Midnight,RPG,0,0
2018-09-01,Midnight,UG,1,1
2018-09-01,Midnight,Alumni,0,0
2018-09-01,Midnight,Others(HKUST),2,3
2018-09-01,Midnight,Non-HKUST,0,0
2018-09-01,Midnight,Total,5,9
2018-09-01,Early-Morning,Staff,1,5
2018-09-01,Early-Morning,TPG,0,0
2018-09-01,Early-Morning,RPG,0,0
2018-09-01,Early-Morning,UG,0,0
2018-09-01,Early-Morning,Alumni,0,0
2018-09-01,Early-Morning,Others(HKUST),1,1
2018-09-01,Early-Morning,Non-HKUST,0,0
2018-09-01,Early-Morning,Total,2,6
2018-09-01,Morning,Staff,17,36
2018-09-01,Morning,TPG,53,101
2018-09-01,Morning,RPG,52,89
2018-09-01,Morning,UG,95,168
2018-09-01,Morning,Alumni,3,3
2018-09-01,Morning,Others(HKUST),3,6
2018-09-01,Morning,Non-HKUST,12,20
2018-09-01,Morning,Total,235,423
2018-09-01,Afternoon,Staff,29,59
2018-09-01,Afternoon,TPG,212,397
2018-09-01,Afternoon,RPG,92,211
2018-09-01,Afternoon,UG,215,485
2018-09-01,Afternoon,Alumni,14,45
2018-09-01,Afternoon,Others(HKUST),3,8
2018-09-01,Afternoon,Non-HKUST,27,52
2018-09-01,Afternoon,Total,592,1257
2018-09-01,Late-Afternoon,Staff,22,43
2018-09-01,Late-Afternoon,TPG,167,374
2018-09-01,Late-Afternoon,RPG,55,118
2018-09-01,Late-Afternoon,UG,210,447
2018-09-01,Late-Afternoon,Alumni,12,33
2018-09-01,Late-Afternoon,Others(HKUST),2,2
2018-09-01,Late-Afternoon,Non-HKUST,18,31
2018-09-01,Late-Afternoon,Total,486,1048
2018-09-01,Evening,Staff,4,9
2018-09-01,Evening,TPG,36,59
2018-09-01,Evening,RPG,17,32
2018-09-01,Evening,UG,64,132
2018-09-01,Evening,Alumni,3,4
2018-09-01,Evening,Others(HKUST),3,4
2018-09-01,Evening,Non-HKUST,2,3
2018-09-01,Evening,Total,129,243
2018-09-01,All-Periods,Staff,41,145
2018-09-01,All-Periods,TPG,317,879
2018-09-01,All-Periods,RPG,132,410
2018-09-01,All-Periods,UG,358,1152
2018-09-01,All-Periods,Alumni,18,79
2018-09-01,All-Periods,Others(HKUST),4,19
2018-09-01,All-Periods,Non-HKUST,38,97
2018-09-01,All-Periods,Total,908,2781
2018-09-02,Midnight,Staff,1,3
2018-09-02,Midnight,TPG,0,0
2018-09-02,Midnight,RPG,0,0
2018-09-02,Midnight,UG,0,0
2018-09-02,Midnight,Alumni,0,0
2018-09-02,Midnight,Others(HKUST),2,2
2018-09-02,Midnight,Non-HKUST,0,0
2018-09-02,Midnight,Total,3,5
2018-09-02,Early-Morning,Staff,2,5
2018-09-02,Early-Morning,TPG,0,0
2018-09-02,Early-Morning,RPG,0,0
2018-09-02,Early-Morning,UG,0,0
2018-09-02,Early-Morning,Alumni,0,0
2018-09-02,Early-Morning,Others(HKUST),1,1
