BuildingCode,BuildingName,BuildingType,num_access_points,coord_x,coord_y,map_pixel_x,map_pixel_y
AcadBldg1,AcadBldg1,Acad,4,819402.729175,439970.97774999996,607,391
AcadBldg10,Dartmouth Hall,Acad,22,818146.0773545455,439657.07585454546,456,429
AcadBldg11,AcadBldg11,Acad,1,819549.49,440574.9664,624,320
AcadBldg12,AcadBldg12,Acad,3,819798.5263,440246.68620000005,654,359
AcadBldg13,AcadBldg13,Acad,1,820058.4,440458.4667,685,333
AcadBldg14,AcadBldg14,Acad,1,820914.8989,441372.5131,788,225
AcadBldg15,AcadBldg15,Acad,5,819621.30264,439981.3393,633,390
AcadBldg16,AcadBldg16,Acad,6,820222.3208333333,440453.89943333337,705,334
AcadBldg17,AcadBldg17,Acad,11,819962.4976181817,440624.5792909091,674,314
AcadBldg18,AcadBldg18,Acad,9,818096.4421222223,439835.92894444446,450,407
AcadBldg19,AcadBldg19,Acad,5,819636.74456,439729.42996,635,420
AcadBldg21,AcadBldg21,Acad,3,820173.9603,439214.3874666667,699,481
AcadBldg22,AcadBldg22,Acad,2,820092.1758999999,438822.1381,690,528
AcadBldg23,AcadBldg23,Acad,11,820461.3745727274,440262.14430909086,734,357
AcadBldg25,Reed Hall,Acad,3,820087.5844333334,439107.95116666664,689,494
AcadBldg26,AcadBldg26,Acad,7,820687.2745571429,441067.7054571429,761,261
AcadBldg27,AcadBldg27,Acad,1,820980.4538,441038.881,796,264
AcadBldg29,AcadBldg29,Acad,1,820245.2691,439084.897,708,497
AcadBldg30,AcadBldg30,Acad,7,820184.0687428572,439348.7195,701,465
AcadBldg31,AcadBldg31,Acad,3,818305.0172333332,440015.0681333333,475,386
AcadBldg32,AcadBldg32,Acad,10,820774.08911,441239.81964,771,241
AcadBldg33,AcadBldg33,Acad,6,819763.4718833333,440181.41055,650,366
AcadBldg34,AcadBldg34,Acad,5,820269.81152,440058.16214,711,381
AcadBldg35,AcadBldg35,Acad,2,818204.97845,439997.98355,463,388
AcadBldg36,AcadBldg36,Acad,1,820254.335,440343.2337,709,347
AcadBldg4,AcadBldg4,Acad,5,819380.0448,440099.17066,604,376
AcadBldg5,AcadBldg5,Acad,1,820427.2179,438809.1893,730,530
AcadBldg6,AcadBldg6,Acad,6,818048.3735000001,439962.83666666667,444,392
AcadBldg7,AcadBldg7,Acad,1,818128.7799,440019.9472,454,386
AcadBldg8,AcadBldg8,Acad,5,820384.6632999999,440140.84354,725,371
AcadBldg9,AcadBldg9,Acad,7,821025.1776571429,441254.5815714286,802,239
AdmBldg1,AdmBldg1,Adm,2,820245.95575,438570.44325,708,558
AdmBldg12,AdmBldg12,Adm,5,819430.98056,439454.13077999995,610,453
AdmBldg14,AdmBldg14,Adm,2,820086.5347,440561.8982,689,321
AdmBldg16,AdmBldg16,Adm,1,819728.6452,439993.9764,646,389
AdmBldg18,AdmBldg18,Adm,1,820177.111,438279.3297,700,593
AdmBldg19,AdmBldg19,Adm,3,819395.4543,439704.90313333337,606,423
AdmBldg20,AdmBldg20,Adm,1,820428.1963,438734.9367,730,538
AdmBldg22,AdmBldg22,Adm,2,820179.38645,439469.63605,700,451
AdmBldg23,AdmBldg23,Adm,1,821261.1083,441330.4734,830,230
AdmBldg24,AdmBldg24,Adm,2,819116.07625,439296.46405,572,472
AdmBldg25,AdmBldg25,Adm,1,819234.9264,438602.2353,587,554
AdmBldg26,AdmBldg26,Adm,5,820362.2164200001,441253.13454,722,239
AdmBldg27,AdmBldg27,Adm,3,819842.2072333334,438203.44250000006,660,602
AdmBldg28,AdmBldg28,Adm,8,820430.104,441207.92891250004,730,244
AdmBldg29,AdmBldg29,Adm,2,820305.85265,441299.6834,715,233
AdmBldg4,AdmBldg4,Adm,3,820046.9890666666,440252.766,684,358
AdmBldg5,AdmBldg5,Adm,3,819425.7540333333,439275.68029999995,610,474
AdmBldg6,AdmBldg6,Adm,5,820237.8788,441184.70944,707,247
AdmBldg7,AdmBldg7,Adm,4,819415.701675,438076.789125,608,617
AdmBldg8,AdmBldg8,Adm,3,820088.4655333334,441021.98626666673,689,266
AthlBldg10,AthlBldg10,Athl,2,821984.7484500001,438369.15825,917,582
AthlBldg11,AthlBldg11,Athl,2,821347.35085,438178.26780000003,840,605
AthlBldg2,AthlBldg2,Athl,4,821019.7410500001,438961.47277500003,801,511
AthlBldg3,Thompson Arena,Athl,2,822518.7711,437989.45565,981,627
AthlBldg4,AthlBldg4,Athl,2,821298.4981,439094.8798,834,496
AthlBldg5,AthlBldg5,Athl,3,822355.5813666667,438370.5222,961,582
AthlBldg6,AthlBldg6,Athl,1,820838.4181,438834.6443,779,526
AthlBldg8,AthlBldg8,Athl,2,820800.14655,438430.3883,775,575
AthlBldg9,AthlBldg9,Athl,1,817443.5342,440084.8661,371,378
LibBldg1,Baker-Berry Library (Main),Lib,14,819774.1110571428,439867.1639428572,651,404
LibBldg2,Baker-Berry Library (Tower),Lib,21,819727.7907380953,440080.63693333336,646,378
LibBldg3,LibBldg3,Lib,7,820763.0406285714,440933.6958571429,770,277
LibBldg4,LibBldg4,Lib,5,819905.1364399999,439620.8523,667,433
LibBldg5,LibBldg5,Lib,1,819848.1238,440751.7132,660,299
ResBldg100,ResBldg100,Res,2,819306.9509,440650.95279999997,595,311
ResBldg101,ResBldg101,Res,2,819261.98645,439514.93039999995,590,446
ResBldg13,ResBldg13,Res,2,819235.1703,440587.14345,587,318
ResBldg15,ResBldg15,Res,2,819271.25915,439222.27445,591,480
ResBldg17,ResBldg17,Res,1,819167.4097,440877.0276,578,284
ResBldg19,ResBldg19,Res,2,821224.7652,439435.1273,826,455
ResBldg20,ResBldg20,Res,4,819270.9701,439368.029125,591,463
ResBldg21,ResBldg21,Res,3,820349.2588333334,439217.2504,720,481
ResBldg22,ResBldg22,Res,2,819031.9639,440753.49875,562,298
ResBldg23,ResBldg23,Res,6,821029.3949666667,439578.3626833333,802,438
ResBldg24,ResBldg24,Res,2,818404.0085499999,439993.26895,487,389
ResBldg25,ResBldg25,Res,2,820589.5781,439528.1023,749,444
ResBldg3,ResBldg3,Res,5,820357.69692,439342.42324000003,721,466
ResBldg30,ResBldg30,Res,4,821118.624325,439446.92902499996,813,454
ResBldg31,ResBldg31,Res,3,818563.2259333333,439964.13159999996,506,392
ResBldg33,ResBldg33,Res,2,820523.9362,439501.985,741,447
ResBldg36,ResBldg36,Res,2,819063.01095,440651.8208,566,310
ResBldg38,ResBldg38,Res,3,819395.5007333333,440534.04283333337,606,324
ResBldg39,ResBldg39,Res,1,819216.0,440662.2667,584,309
ResBldg41,ResBldg41,Res,4,820259.634425,438879.4197,710,521
ResBldg43,ResBldg43,Res,4,817766.400525,439778.345325,410,414
ResBldg44,ResBldg44,Res,4,819248.329175,439706.38795,588,423
ResBldg47,ResBldg47,Res,1,819107.0996,440704.8382,571,304
ResBldg49,ResBldg49,Res,1,819463.8676,440602.0772,614,316
ResBldg52,ResBldg52,Res,1,820973.9572,439359.6102,795,464
ResBldg53,ResBldg53,Res,1,821571.7591,439203.8012,867,483
ResBldg54,ResBldg54,Res,6,817798.9091500001,439318.74775000004,414,469
ResBldg55,ResBldg55,Res,4,817695.1945,439598.762125,402,436
ResBldg56,ResBldg56,Res,12,819700.4054583333,438743.43127500004,642,537
ResBldg57,ResBldg57,Res,6,820473.0860833334,438934.44515,735,515
ResBldg6,ResBldg6,Res,2,820904.0818,439324.5446,787,468
