Date,Period,User-Group,User-Count,WiFi-Conn
2014-07-01,Midnight,Staff,3,6
2014-07-01,Midnight,TPG,1,1
2014-07-01,Midnight,RPG,1,2
2014-07-01,Midnight,UG,1,16
2014-07-01,Midnight,Alumni,0,0
2014-07-01,Midnight,Others(HKUST),1,3
2014-07-01,Midnight,Non-HKUST,0,0
2014-07-01,Midnight,Total,7,28
2014-07-01,Early-Morning,Staff,3,8
2014-07-01,Early-Morning,TPG,0,0
2014-07-01,Early-Morning,RPG,1,1
2014-07-01,Early-Morning,UG,2,10
2014-07-01,Early-Morning,Alumni,0,0
2014-07-01,Early-Morning,Others(HKUST),2,9
2014-07-01,Early-Morning,Non-HKUST,0,0
2014-07-01,Early-Morning,Total,8,28
2014-07-01,Morning,Staff,17,31
2014-07-01,Morning,TPG,9,14
2014-07-01,Morning,RPG,17,18
2014-07-01,Morning,UG,34,36
2014-07-01,Morning,Alumni,1,1
2014-07-01,Morning,Others(HKUST),1,7
2014-07-01,Morning,Non-HKUST,3,3
2014-07-01,Morning,Total,82,110
2014-07-01,Afternoon,Staff,18,37
2014-07-01,Afternoon,TPG,14,18
2014-07-01,Afternoon,RPG,32,34
2014-07-01,Afternoon,UG,93,96
2014-07-01,Afternoon,Alumni,3,5
2014-07-01,Afternoon,Others(HKUST),5,36
2014-07-01,Afternoon,Non-HKUST,4,5
2014-07-01,Afternoon,Total,169,231
2014-07-01,Late-Afternoon,Staff,13,30
2014-07-01,Late-Afternoon,TPG,17,19
2014-07-01,Late-Afternoon,RPG,44,63
2014-07-01,Late-Afternoon,UG,56,73
2014-07-01,Late-Afternoon,Alumni,2,2
2014-07-01,Late-Afternoon,Others(HKUST),3,19
2014-07-01,Late-Afternoon,Non-HKUST,12,15
2014-07-01,Late-Afternoon,Total,147,221
2014-07-01,Evening,Staff,7,12
2014-07-01,Evening,TPG,5,9
2014-07-01,Evening,RPG,6,24
2014-07-01,Evening,UG,19,21
2014-07-01,Evening,Alumni,1,3
2014-07-01,Evening,Others(HKUST),2,23
2014-07-01,Evening,Non-HKUST,3,3
2014-07-01,Evening,Total,43,95
2014-07-01,All-Periods,Staff,43,119
2014-07-01,All-Periods,TPG,33,61
2014-07-01,All-Periods,RPG,93,142
2014-07-01,All-Periods,UG,175,252
2014-07-01,All-Periods,Alumni,6,11
2014-07-01,All-Periods,Others(HKUST),8,90
2014-07-01,All-Periods,Non-HKUST,19,25
2014-07-01,All-Periods,Total,377,700
2014-07-02,Midnight,Staff,5,19
2014-07-02,Midnight,TPG,1,1
2014-07-02,Midnight,RPG,0,0
2014-07-02,Midnight,UG,2,3
2014-07-02,Midnight,Alumni,0,0
2014-07-02,Midnight,Others(HKUST),1,2
2014-07-02,Midnight,Non-HKUST,1,2
2014-07-02,Midnight,Total,10,27
2014-07-02,Early-Morning,Staff,12,24
2014-07-02,Early-Morning,TPG,0,0
2014-07-02,Early-Morning,RPG,3,4
2014-07-02,Early-Morning,UG,8,13
2014-07-02,Early-Morning,Alumni,0,0
2014-07-02,Early-Morning,Others(HKUST),4,13
2014-07-02,Early-Morning,Non-HKUST,0,0
2014-07-02,Early-Morning,Total,27,54
2014-07-02,Morning,Staff,116,641
2014-07-02,Morning,TPG,63,346
2014-07-02,Morning,RPG,112,615
2014-07-02,Morning,UG,249,1085
2014-07-02,Morning,Alumni,8,52
2014-07-02,Morning,Others(HKUST),8,28
2014-07-02,Morning,Non-HKUST,17,47
2014-07-02,Morning,Total,573,2814
2014-07-02,Afternoon,Staff,213,806
2014-07-02,Afternoon,TPG,120,1052
2014-07-02,Afternoon,RPG,194,1011
2014-07-02,Afternoon,UG,557,2490
2014-07-02,Afternoon,Alumni,15,95
2014-07-02,Afternoon,Others(HKUST),15,51
2014-07-02,Afternoon,Non-HKUST,24,123
2014-07-02,Afternoon,Total,1138,5628
2014-07-02,Late-Afternoon,Staff,121,421
2014-07-02,Late-Afternoon,TPG,123,989
2014-07-02,Late-Afternoon,RPG,163,771
2014-07-02,Late-Afternoon,UG,442,1965
2014-07-02,Late-Afternoon,Alumni,17,98
2014-07-02,Late-Afternoon,Others(HKUST),10,43
2014-07-02,Late-Afternoon,Non-HKUST,19,61
2014-07-02,Late-Afternoon,Total,895,4348
2014-07-02,Evening,Staff,17,36
2014-07-02,Evening,TPG,52,142
2014-07-02,Evening,RPG,37,103
2014-07-02,Evening,UG,142,295
2014-07-02,Evening,Alumni,8,15
2014-07-02,Evening,Others(HKUST),2,15
2014-07-02,Evening,Non-HKUST,2,2
2014-07-02,Evening,Total,260,608
2014-07-02,All-Periods,Staff,317,1916
2014-07-02,All-Periods,TPG,168,2490
2014-07-02,All-Periods,RPG,306,2480
2014-07-02,All-Periods,UG,875,5820
2014-07-02,All-Periods,Alumni,23,254
2014-07-02,All-Periods,Others(HKUST),23,147
2014-07-02,All-Periods,Non-HKUST,33,231
2014-07-02,All-Periods,Total,1745,13338
2014-07-03,Midnight,Staff,3,10
2014-07-03,Midnight,TPG,2,3
2014-07-03,Midnight,RPG,1,1
