Date,Floor,User-Group,User-Count,WiFi-Conn,Duration-Sec,Traffic-In-Byte,Traffic-Out-Byte,Traffic-Both-Byte
2015-04-01,1,Staff,47,581,825057,1390296056,129016827,1519312883
2015-04-01,1,TPG,88,1163,1633648,14980317610,1212472959,16192790569
2015-04-01,1,RPG,13,64,75375,39203348,5527427,44730775
2015-04-01,1,UG,444,3270,3358441,28256415236,1833276145,30089691381
2015-04-01,1,Alumni,2,19,24858,351050126,192289063,543339189
2015-04-01,1,Others(HKUST),5,17,3898,0,0,0
2015-04-01,1,Non-HKUST,8,65,34116,225667,137522,363189
2015-04-01,1,Total,607,5179,5955393,45017508043,3372719943,48390227986
2015-04-01,G,Staff,84,430,362242,684561665,107030105,791591770
2015-04-01,G,TPG,231,1193,1214424,1637242532,1100021355,2737263887
2015-04-01,G,RPG,70,385,334235,428111253,118575374,546686627
2015-04-01,G,UG,1084,4583,3071520,3105688181,196598512,3302286693
2015-04-01,G,Alumni,9,27,10301,0,0,0
2015-04-01,G,Others(HKUST),10,51,175918,0,0,0
2015-04-01,G,Non-HKUST,12,36,28858,0,0,0
2015-04-01,G,Total,1500,6705,5197498,5855603631,1522225346,7377828977
2015-04-01,LG1,Staff,69,302,217326,6699893,2757440,9457333
2015-04-01,LG1,TPG,351,3849,4115203,51320137397,5769590096,57089727493
2015-04-01,LG1,RPG,127,812,1014697,6036337568,458061354,6494398922
2015-04-01,LG1,UG,1729,12972,11633737,42226200256,7994157088,50220357344
2015-04-01,LG1,Alumni,9,41,64312,18430,7306,25736
2015-04-01,LG1,Others(HKUST),9,112,229198,1633531221,49151913,1682683134
2015-04-01,LG1,Non-HKUST,26,114,98102,557109268,176941538,734050806
2015-04-01,LG1,Total,2320,18202,17372575,101780034033,14450666735,116230700768
2015-04-01,LG3,Staff,43,144,149806,183907881,11401750,195309631
2015-04-01,LG3,TPG,179,1255,1658451,5887392962,1321426355,7208819317
2015-04-01,LG3,RPG,66,440,560747,720248060,149456788,869704848
2015-04-01,LG3,UG,579,2359,1779996,4986577328,482641648,5469218976
2015-04-01,LG3,Alumni,7,76,81867,648849092,39610952,688460044
2015-04-01,LG3,Others(HKUST),3,16,19717,0,0,0
2015-04-01,LG3,Non-HKUST,12,28,33668,0,0,0
2015-04-01,LG3,Total,889,4318,4284252,12426975323,2004537493,14431512816
2015-04-01,LG4,Staff,77,224,147485,51402,23223,74625
2015-04-01,LG4,TPG,216,2179,2776216,31202049490,3185621985,34387671475
2015-04-01,LG4,RPG,68,400,525544,1597258166,523121632,2120379798
2015-04-01,LG4,UG,832,3734,3512903,59764805484,3565474678,63330280162
2015-04-01,LG4,Alumni,9,84,129378,62727020,14257806,76984826
